序号,特殊,年龄小,年龄大,文本,获得特殊能力,移除特殊能力,力,智,谋,精,辩,结束图片,死亡音效,结束文本,成就,成就系列号
0,3,0,0,我生下来时，爸爸刚刚被征召去打仗。,,,1,1,0,1,0,,,,,
1,3,0,2,我出生了，出生时父亲正在杀狗，没空理你。,,,0,-1,1,0,1,,,,岁月静好,1
2,3,0,2,这年，许多穿着盔甲的大人回来了，妈妈指了指一个骑在马上的人，说那就父亲,,,1,1,1,1,0,,,,,
3,0,2,5,安度幼年，平安无事,,,0,0,0,1,0,,,,,
4,2,2,5,父亲逃难，牵连全乡，我被贩为奴，抵父的过错，终生苦力,,,-1,0,0,0,0,,dead1,为奴一生,生而为柴,1
5,3,2,5,"全家搬到了王城内一间大房子里，城外有属于我的农田，父亲因打仗立功，已获得“不征""爵位,意味着你们全家永远不用服徭役了",,,0,1,-1,1,1,,,,岁月静好,2
6,3,2,5,我问:“妈妈，爸爸是干嘛的?”{换行}妈妈:“爸爸是杀狗的。{换行}我:“妈妈，我也要吃狗肉!”{换行}妈妈:“等爸爸服完徭役回来就能吃了。{换行},,,1,1,1,1,1,,,,岁月静好,3
7,3,5,10,"服役的父亲回来后，带我去王宫外眺望，我看到那里有几个金光闪闪的铜人。{引文}《使记秦始皇本纪》:“收天下兵，聚之咸阳，销以为钟镰金人十二,重各千石，置廷宫中{/引文}",,,0,0,0,2,1,,,,岁月静好,4
8,3,5,10,父亲觉得，杀人实在是太缺德了。既然我们族从此不用服徭役，不如读书吧。于是你读书去了,,,0,2,1,0,1,,,,,
9,3,5,15,"官兵突然进来说要把家中所有书都收走。后听闻我的老师被捉走,不知所踪。第二天，一位新的老师到了，只讲《记》和《律》",,,1,1,1,0,0,,,,,
10,3,5,15,"爸爸去视察新王宫工地。“长大后，你会到皇宫里会见皇帝的。“爸爸说。我正发呆的时候，忽然听到“啪”的一声， 爸爸在抽打一个小吏。“让你找50个役夫呢!为什么才30个!”
{引文}《史记秦始皇本纪》:始皇以为威阳人多，先王之宫廷小。吾闻:周文王都丰，武王都镐。丰、鎬之间，帝王之都也。乃营作朝宫上林苑中。”{/引文}",,,1,-1,0,2,1,,,,岁月静好,5
11,3,5,15,爸爸服完徭役回来。小时候妈妈承诺杀狗的爸爸，能给我吃上狗肉，于是我问他要狗肉吃，但是他说:“孩子他妈胡说八道!狗肉这么贵怎能给小屁孩吃呀!”遂不了了之。,,,0,1,0,-2,1,,,,岁月静好,6
12,0,15,20,安度少年，平安无事,,,1,0,0,1,0,,,,,
13,3,15,20,"我和 好友季终于偷到了狗肉，我俩都被爸爸吊起来打得屁股开花,但我和刘季的友谊也更加深厚了",,,2,1,0,0,0,,,,,
14,3,15,20,服徭役，开掘骊山陵周边山体。,,,1,0,0,-1,1,,,,,
15,3,15,20,服兵役，征讨南越战役，前线作战，未建战功。,,,1,1,0,0,0,,,,,
16,3,15,25,王城所有人穿着白衣服，人们无不悲伤欲绝，王去世了。不过，王朝千秋万世绵延不绝，新王一定如先王一样英明，我不太担心自己的未来。,,,0,0,-1,-2,-1,,,,,
17,2,15,25,因上交材火不够，逃至山林，与天为盖与地为铺。数天后饥肠辘辘回到营地。因我外逃连坐罚一甲的同伴，偷偷投毒致死,,,-1,1,0,0,-1,dead1,dead3,,生而为柴,2
18,3,10,20,"我的父亲又出去打仗了，听说南方边境有人造反。爸爸说，凭借我国强大的军队,他很快就会像十年前一样归来的",,,-1,-1,0,1,1,,,,,
19,3,15,25,"消息说征讨南方边境取得大胜,但父亲没有像往常一样回来。我听见小贩在城里讹传:“我军被敌军大败，所有人都被敌军屠杀了。“你生气得一脚踢翻了他的手推车,大骂他是敌国奸细。小贩抱头鼠事，你感叹:敌国的奸细实在太多了",,,-1,-1,-1,-1,-1,,,,岁月静好,7
20,3,20,30,"王又换了，但新王不让人叫他王。没多久,一支军队进城了，为首的一看就是帮地痞流氓，我又惊又怕，好在他们什么都没有做。",,,-1,-1,-1,-1,-1,,,,,
21,3,12,20,我成年了，按法律必须分家。由于我只会宰杀动物，所以成了一个屠户。,,,1,1,0,0,0,,,,,
22,3,15,22,服徭役，建骊山陵。,,,1,0,0,0,0,,,,,
23,0,20,30,安度壮年，平安无事,,,-1,0,-1,0,0,,,,,
24,3,20,30,服徭役，开掘骊山陵周边山体,,,1,0,0,0,0,,,,,
25,2,20,30,服徭役，建骊山陵死于靠近地宫，为保地点位置秘密被杀。,,,1,0,0,0,0,dead1,dead3,,生而为柴,3
26,3,20,30,服徭役，修驰道，在本地做活,,,1,0,0,0,0,,,,,
27,3,20,30,服徭役，修驰道，前往隔壁里帮工。,,,1,0,0,0,0,,,,,
28,3,20,30,同里的人，损坏了兵器，被罚两甲，我收牵连罚一盾，为此做了一个季度的活,,,1,0,0,0,-1,,,,,
29,3,15,25,逃至山林，与天为盖与地为铺。所幸辗转去到远方生活,,,1,0,0,1,0,,,,,
30,3,20,30,"有一天，天刚亮，一团黑压压的军队冲进城里，像疯了一样砸烂、抢走城里的东西。你把老母和妻儿藏在房间里，自己关起门隔着门缝观看。一个士兵踢你的门，好在你家比较富裕，门也是厚实的,他没有踢开。士兵跑开了。你惊出一身冷汗",,,-1,0,1,0,0,,,,岁月静好,8
31,3,20,30,服徭役，修长城，后勤保障工作,,,1,0,0,0,0,,,,,
32,3,20,30,"徭役又分配到我的头上，但一起长大好友季当上了本地小吏,有他的关系，今年，我就留在本地修城墙就行了",,,0,0,-1,-1,-1,,,,,
33,3,20,30,服兵役，征讨匈奴战役，前线作战，未建战功。,,,-1,-1,0,0,0,,,,,
34,2,31,50,"一天夜里，房外依然亮如白昼，王城着火了。一道烧着的房梁掉了下来，挡住了你们一家的出路。你抱着身边的亲人哭泣:“父亲!父亲!你什么时候才能回来?“火焰点燃了你的衣服,已经分不清房间里的声，到底是哭声，还是疼痛的喊声，还是士兵的喊杀声，我葬身王城的火海之中。
《史记项羽本纪》:项羽引/兵西鳳咸阳，杀秦降王子婴，烧秦宫室，月不灭",,,-1,0,0,-1,0,dead3,dead4,,岁月静好,9
35,2,31,50,服徭役，修长城，未到目的地，死于流寇劫道。,,,1,-1,0,0,-1,dead2,dead2,,生而为柴,4
36,2,31,50,服徭役，修长城，死于营养不良,,,-2,0,1,0,0,dead4,dead1,,生而为柴,5
37,2,31,50,服徭役，征讨匈奴战役，后勤保障工作,,,1,0,0,0,0,dead2,dead2,,,
38,2,31,50,王朝更替，轻徭薄赋，安度晚年,,,1,1,1,1,1,,dead1,寿终正寝,,
39,3,31,50,服徭役，第二次征讨南越战役，后勤保障工作。,,,1,0,0,-1,0,,,,,
40,3,31,50,服徭役，第二次征讨南越战役，后勤保障工作,,,1,0,0,0,-1,,,,,
41,2,31,50,服徭役，第二次征讨南越战役，后勤保障工作，水土不服，上吐下泻七日后脱水而亡。,,,-2,1,0,0,0,dead3,dead2,,生而为柴,6
42,2,31,50,服兵役，第二次征讨南越战役，前线作战，战功一等。后深入丛林作战，被割破小腿，伤口腐烂化脓，瘴气漫天，三日后病逝,,,-2,0,0,1,0,dead3,dead3,,生而为柴,7
43,0,31,50,安度晚年，平安无事,,,-1,-1,0,0,1,,,,,
